                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.51533,                0.65555,                0.15757,                0.29806,                0.81351,                0.97131,                0.80229,                0.85118,                0.73464,                 0.9669,                0.79611,                0.84349,                 0.7388,                0.72621,                0.88434,                0.21195,                 1.2429,                0.91216,               0.006139,               0.006139,               0.006139
                     42,                0.51281,                0.64637,                0.15722,                0.29733,                0.81303,                0.96816,                0.81138,                0.85376,                0.73595,                0.96225,                0.80643,                0.84568,                0.74029,                0.72647,                0.88123,                0.21144,                  1.214,                0.91268,                0.00604,                0.00604,                0.00604
                     43,                 0.5102,                 0.6404,                0.15683,                0.29596,                0.81253,                0.96595,                0.81652,                0.85545,                0.73678,                0.95985,                0.81136,                0.84691,                 0.7413,                0.72735,                0.87754,                0.21095,                 1.1905,                0.91392,               0.005941,               0.005941,               0.005941
                     44,                 0.5095,                0.63602,                0.15605,                0.29542,                0.81231,                0.96591,                0.81838,                0.85593,                0.73704,                0.95949,                0.81295,                0.84737,                0.74183,                0.72833,                0.87471,                 0.2103,                 1.1834,                0.91554,               0.005842,               0.005842,               0.005842
                     45,                0.50801,                0.63287,                0.15589,                0.29438,                 0.8125,                0.96636,                0.81893,                 0.8562,                0.73744,                0.95979,                0.81337,                 0.8475,                0.74237,                 0.7295,                 0.8718,                0.21005,                  1.168,                0.91721,               0.005743,               0.005743,               0.005743
                     46,                0.50619,                0.62835,                0.15513,                0.29357,                0.81148,                0.96686,                0.81797,                0.85482,                0.73674,                0.96058,                0.81215,                0.84599,                0.74199,                  0.731,                0.87014,                0.20951,                  1.191,                0.91935,               0.005644,               0.005644,               0.005644
                     47,                0.50343,                0.62369,                0.15446,                0.29248,                0.81148,                 0.9688,                0.81746,                0.85496,                 0.7369,                 0.9623,                0.81147,                0.84544,                0.74207,                0.73192,                0.86755,                0.20901,                 1.1685,                0.92061,               0.005545,               0.005545,               0.005545
                     48,                0.50237,                0.61437,                0.15381,                0.29163,                 0.8111,                0.96938,                0.81634,                0.85437,                0.73654,                0.96336,                0.81014,                0.84463,                0.74182,                0.73319,                0.86473,                0.20843,                 1.1699,                0.92215,               0.005446,               0.005446,               0.005446
                     49,                  0.501,                0.61019,                0.15363,                0.29097,                0.81121,                0.97139,                0.81355,                 0.8534,                0.73576,                0.96527,                0.80739,                0.84358,                0.74126,                0.73481,                0.86409,                0.20804,                 1.1752,                0.92419,               0.005347,               0.005347,               0.005347
                     50,                0.49897,                 0.6074,                0.15368,                 0.2897,                0.81054,                0.97268,                0.81091,                0.85258,                0.73502,                0.96707,                0.80452,                0.84236,                0.74067,                0.73579,                 0.8638,                0.20764,                 1.1914,                0.92586,               0.005248,               0.005248,               0.005248
